timestamp,datetime,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,neighbor_count,nr_neighbor_count,lte_neighbor_count,imu_speed_ms,handover_detected,ping_pong_detected,neighbors_json
1780030792633,2026-05-29 13:59:52,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NONE,4G,false,false,false,false,false,52560931,177,3050,7,8222,450,06,-74,-3,-51,28,4,0,,,,0,0,0.0000,0.0000,3,0,3,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-8,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-13,""rssi"":-79,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-112,""rsrq"":-20,""rssi"":-79,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030792636,2026-05-29 13:59:52,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-74,-3,-51,28,4,0,,,,0,0,0.0000,0.0000,3,0,3,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-8,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-13,""rssi"":-79,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-112,""rsrq"":-20,""rssi"":-79,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030797637,2026-05-29 13:59:57,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-74,-3,-51,28,4,0,,,,4768,3732,0.0381,0.0299,3,0,3,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-8,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-13,""rssi"":-79,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-112,""rsrq"":-20,""rssi"":-79,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030802647,2026-05-29 14:00:02,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-74,-3,-51,28,4,0,,,,37027,1448,0.2962,0.0116,3,0,3,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-8,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-13,""rssi"":-79,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-112,""rsrq"":-20,""rssi"":-79,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030807652,2026-05-29 14:00:07,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-74,-3,-51,28,4,0,,,,28,42,0.0002,0.0003,3,0,3,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-8,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-13,""rssi"":-79,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-112,""rsrq"":-20,""rssi"":-79,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030812656,2026-05-29 14:00:12,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-77,-3,-53,28,4,0,,,,490898,22000,3.9272,0.1760,4,0,4,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-3,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-81,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-102,""rsrq"":-8,""rssi"":-75,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-110,""rsrq"":-17,""rssi"":-83,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030817661,2026-05-29 14:00:17,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-77,-3,-53,28,4,0,,,,300051,7021,2.4004,0.0562,4,0,4,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-3,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-81,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-102,""rsrq"":-8,""rssi"":-75,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-110,""rsrq"":-17,""rssi"":-83,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030822672,2026-05-29 14:00:22,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-77,-3,-53,28,4,0,,,,640015,15025,5.1201,0.1202,4,0,4,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-3,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-81,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-102,""rsrq"":-8,""rssi"":-75,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-110,""rsrq"":-17,""rssi"":-83,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030827678,2026-05-29 14:00:27,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-77,-3,-53,28,4,0,,,,285323,4769,2.2826,0.0382,4,0,4,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-68,""rsrq"":-3,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-81,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-102,""rsrq"":-8,""rssi"":-75,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-110,""rsrq"":-17,""rssi"":-83,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030832688,2026-05-29 14:00:32,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-75,-8,-51,30,4,0,,,,9842,1767,0.0787,0.0141,5,0,5,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-74,""rsrq"":-8,""rssi"":-55,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-108,""rsrq"":-12,""rssi"":-85,""snr"":null,""ta"":0,""level"":1,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-116,""rsrq"":-19,""rssi"":-85,""snr"":null,""ta"":0,""level"":0,""bands"":""1""},{""type"":""LTE"",""pci"":186,""earfcn"":100,""tac"":null,""rsrp"":-114,""rsrq"":-15,""rssi"":-89,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
1780030837698,2026-05-29 14:00:37,37.55083408,127.07486564,3.7900925,0.73,57.7,34.92669677734375,LTE,NR_NSA,5G,true,false,true,false,false,52560931,177,3050,7,8222,450,06,-75,-8,-51,30,4,0,,,,1320,568,0.0106,0.0045,5,0,5,0.73,false,false,"[{""type"":""LTE"",""pci"":177,""earfcn"":2600,""tac"":null,""rsrp"":-74,""rsrq"":-8,""rssi"":-55,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-108,""rsrq"":-12,""rssi"":-85,""snr"":null,""ta"":0,""level"":1,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-116,""rsrq"":-19,""rssi"":-85,""snr"":null,""ta"":0,""level"":0,""bands"":""1""},{""type"":""LTE"",""pci"":186,""earfcn"":100,""tac"":null,""rsrp"":-114,""rsrq"":-15,""rssi"":-89,""snr"":null,""ta"":0,""level"":1,""bands"":""1""}]"
