timestamp,datetime,activity,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,mobile_rx_speed_Bps,mobile_tx_speed_Bps,mobile_rx_bitrate_Mbps,mobile_tx_bitrate_Mbps,wifi_active,neighbor_count,nr_neighbor_count,lte_neighbor_count,best_nbr_rsrp_dbm,best_nbr_pci,best_nbr_arfcn,imu_speed_ms,handover_detected,ping_pong_detected,collect_trigger,cell_duration_s,ho_count_30s,rsrp_delta,sinr_delta,cell_info_age_ms,prev_serving_cell_id,prev_rsrp_dbm,prev_rsrq_db,neighbors_json
1780903159236,2026-06-08 16:19:19,walking,37.54986267,127.07356169,7.3746843,1.12,230.8,21.7921142578125,LTE,NONE,4G,false,false,false,false,false,52550404,237,3050,7,8282,450,06,-98,-14,-61,-1,2,2,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,10,0,10,-83,247,2600,1.12,false,false,handover,0,0,,,2807,,,,"[{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-12,""rssi"":-61,""snr"":null,""ta"":2,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":null,""ta"":2,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":2600,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-89,""rsrq"":-15,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-15,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-92,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-93,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":137,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":247,""earfcn"":3050,""tac"":null,""rsrp"":-101,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":2,""level"":2,""bands"":""7""}]"
1780903159240,2026-06-08 16:19:19,walking,37.54986267,127.07356169,7.3746843,1.12,230.8,21.7921142578125,LTE,NR_NSA,5G,true,false,true,false,false,52550404,237,3050,7,8282,450,06,-98,-14,-61,-1,2,2,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,10,0,10,-83,247,2600,1.12,false,false,periodic,0,0,0,0,2811,,,,"[{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-12,""rssi"":-61,""snr"":null,""ta"":2,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":null,""ta"":2,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":2600,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-89,""rsrq"":-15,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-15,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-92,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-93,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":2,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":137,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":247,""earfcn"":3050,""tac"":null,""rsrp"":-101,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":2,""level"":2,""bands"":""7""}]"
1780903164243,2026-06-08 16:19:24,walking,37.54984424,127.07360566,6.497045,1.06,224.2,34.448974609375,LTE,NR_NSA,5G,true,false,true,false,false,52550404,237,3050,7,8282,450,06,-100,-15,-65,1,2,1,,,,0,95,0.0000,0.0008,0,95,0.0000,0.0008,false,10,0,10,-87,253,2600,1.06,false,false,periodic,0,0,-2,2,5000,,,,"[{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-87,""rsrq"":-10,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":253,""earfcn"":100,""tac"":null,""rsrp"":-92,""rsrq"":-20,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-93,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":2600,""tac"":null,""rsrp"":-95,""rsrq"":-19,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-97,""rsrq"":-15,""rssi"":-69,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-16,""rssi"":-69,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":100,""tac"":null,""rsrp"":-99,""rsrq"":-19,""rssi"":-69,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-16,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":137,""earfcn"":3050,""tac"":null,""rsrp"":-102,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""}]"
1780903165808,2026-06-08 16:19:25,walking,37.54984443,127.07357634,7.111747,1.01,268.9,39.0853271484375,LTE,NR_NSA,5G,true,false,true,false,false,52549126,137,2600,5,8282,450,06,-91,-20,-51,-6,3,,,,,0,1653,0.0000,0.0132,0,1653,0.0000,0.0132,false,0,0,0,,,,1.01,true,false,handover,0,1,,,3,52550404,-100,-15,"[]"
1780903168316,2026-06-08 16:19:28,walking,37.54984445,127.07354699,7.3050914,1.65,283.4,39.086669921875,LTE,NR_NSA,5G,true,false,true,false,false,52559369,253,2600,5,8222,450,06,-84,-10,-57,-6,4,0,,,,3736,1921,0.0299,0.0154,3736,1921,0.0299,0.0154,false,12,0,12,-89,237,2600,1.65,true,false,handover,0,2,,,4,52549126,-91,-20,"[{""type"":""LTE"",""pci"":237,""earfcn"":2600,""tac"":null,""rsrp"":-89,""rsrq"":-18,""rssi"":-57,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-93,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-95,""rsrq"":-16,""rssi"":-71,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":253,""earfcn"":100,""tac"":null,""rsrp"":-99,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-14,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-103,""rsrq"":-19,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-104,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":339,""earfcn"":3050,""tac"":null,""rsrp"":-104,""rsrq"":-17,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":253,""earfcn"":3050,""tac"":null,""rsrp"":-108,""rsrq"":-18,""rssi"":-77,""snr"":null,""ta"":0,""level"":1,""bands"":""7""},{""type"":""LTE"",""pci"":138,""earfcn"":3050,""tac"":null,""rsrp"":-108,""rsrq"":-19,""rssi"":-77,""snr"":null,""ta"":0,""level"":1,""bands"":""7""}]"
1780903169248,2026-06-08 16:19:29,walking,37.54984008,127.07352614,6.8254666,1.08,236.6,40.4080810546875,LTE,NR_NSA,5G,true,false,true,false,false,52559135,339,3050,7,8222,450,06,-105,-18,-67,-6,2,2,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,11,0,11,-83,253,2600,1.08,true,false,periodic,0,3,,,633,52559369,-84,-10,"[{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-83,""rsrq"":-10,""rssi"":-55,""snr"":null,""ta"":2,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-91,""rsrq"":-18,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":2,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-16,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-14,""rssi"":-75,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":253,""earfcn"":100,""tac"":null,""rsrp"":-101,""rsrq"":-19,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-101,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-104,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":2,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":253,""earfcn"":3050,""tac"":null,""rsrp"":-105,""rsrq"":-18,""rssi"":-75,""snr"":null,""ta"":2,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":138,""earfcn"":3050,""tac"":null,""rsrp"":-105,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":2,""level"":2,""bands"":""7""}]"
1780903173342,2026-06-08 16:19:33,walking,37.54980607,127.07349241,4.672139,1.14,225.7,41.2530517578125,LTE,NR_NSA,5G,true,false,true,false,false,52549120,137,3050,7,8282,450,06,-101,-12,-69,-1,2,1,,,,10063,3991,0.0805,0.0319,10063,3991,0.0805,0.0319,false,13,0,13,-90,253,2600,1.14,true,false,handover,0,4,,,3,52559135,-105,-18,"[{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-14,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-96,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-97,""rsrq"":-14,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-19,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":84,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-20,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":399,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":253,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":172,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-100,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":64,""earfcn"":3050,""tac"":null,""rsrp"":-102,""rsrq"":-15,""rssi"":-75,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-105,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":248,""earfcn"":3050,""tac"":null,""rsrp"":-106,""rsrq"":-17,""rssi"":-77,""snr"":null,""ta"":1,""level"":1,""bands"":""7""}]"
1780903174259,2026-06-08 16:19:34,walking,37.54980607,127.07349241,4.672139,1.14,225.7,41.2530517578125,LTE,NR_NSA,5G,true,false,true,false,false,52549120,137,3050,7,8282,450,06,-101,-12,-69,-1,2,1,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,13,0,13,-90,253,2600,1.14,false,false,periodic,0,4,0,0,920,,,,"[{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-90,""rsrq"":-14,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-96,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-97,""rsrq"":-14,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":247,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-19,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":84,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-20,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":399,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":1,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":253,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":172,""earfcn"":100,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-100,""rsrq"":-15,""rssi"":-73,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":64,""earfcn"":3050,""tac"":null,""rsrp"":-102,""rsrq"":-15,""rssi"":-75,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":237,""earfcn"":100,""tac"":null,""rsrp"":-105,""rsrq"":-20,""rssi"":-75,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":248,""earfcn"":3050,""tac"":null,""rsrp"":-106,""rsrq"":-17,""rssi"":-77,""snr"":null,""ta"":1,""level"":1,""bands"":""7""}]"
1780903179266,2026-06-08 16:19:39,walking,37.54976303,127.07345163,3.7900925,1.09,209.5,43.1943359375,LTE,NR_NSA,5G,true,false,true,false,false,52549120,137,3050,7,8282,450,06,-95,-13,-61,2,3,1,,,,241022,31884,1.9282,0.2551,241022,31884,1.9282,0.2551,false,11,0,11,-91,399,2600,1.09,false,false,periodic,5,4,6,3,1015,,,,"[{""type"":""LTE"",""pci"":399,""earfcn"":2600,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-91,""rsrq"":-16,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-13,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":138,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-15,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-92,""rsrq"":-15,""rssi"":-65,""snr"":null,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-93,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":1,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":138,""earfcn"":100,""tac"":null,""rsrp"":-96,""rsrq"":-15,""rssi"":-69,""snr"":null,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":64,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-16,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":399,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-19,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":138,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-18,""rssi"":-71,""snr"":null,""ta"":1,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":339,""earfcn"":2600,""tac"":null,""rsrp"":-100,""rsrq"":-20,""rssi"":-67,""snr"":null,""ta"":1,""level"":2,""bands"":""5""}]"
1780903184274,2026-06-08 16:19:44,walking,37.54972543,127.07343935,3.7900925,1.1,189.8,43.0238037109375,LTE,NR_NSA,5G,true,false,true,false,false,52549120,137,3050,7,8282,450,06,-93,-11,-63,2,3,0,,,,511,6990,0.0041,0.0559,511,6990,0.0041,0.0559,false,11,0,11,-85,137,100,1.1,false,false,periodic,10,4,2,0,1132,,,,"[{""type"":""LTE"",""pci"":137,""earfcn"":100,""tac"":null,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":137,""earfcn"":2600,""tac"":null,""rsrp"":-88,""rsrq"":-14,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":399,""earfcn"":100,""tac"":null,""rsrp"":-90,""rsrq"":-18,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":253,""earfcn"":2600,""tac"":null,""rsrp"":-92,""rsrq"":-17,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""pci"":64,""earfcn"":100,""tac"":null,""rsrp"":-94,""rsrq"":-18,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":138,""earfcn"":2600,""tac"":null,""rsrp"":-97,""rsrq"":-18,""rssi"":-67,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":64,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":206,""earfcn"":2600,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-67,""snr"":null,""ta"":0,""level"":2,""bands"":""5""},{""type"":""LTE"",""pci"":138,""earfcn"":100,""tac"":null,""rsrp"":-99,""rsrq"":-19,""rssi"":-67,""snr"":null,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""pci"":138,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-16,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":253,""earfcn"":3050,""tac"":null,""rsrp"":-101,""rsrq"":-20,""rssi"":-69,""snr"":null,""ta"":0,""level"":2,""bands"":""7""}]"
