timestamp,datetime,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,neighbor_count,nr_neighbor_count,lte_neighbor_count,neighbors_json
1778556852898,2026-05-12 12:34:12,37.5464476,127.0680682,15.237,,,43.20000076293945,LTE,NONE,4G,false,false,false,false,false,52543745,272,3050,7,8282,450,06,-89,-9,-59,4,3,0,,,,0,0,0.0000,0.0000,11,0,11,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-98,""rsrq"":-14,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":3050,""tac"":2147483647,""rsrp"":-100,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-93,""rsrq"":-12,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-80,""rsrq"":-11,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":179,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-18,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":131,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-20,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-84,""rsrq"":-17,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""}]"
1778556857905,2026-05-12 12:34:17,37.54688765,127.06843184,13.470738,0.96,27.3,48.78082275390625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-89,-9,-59,4,3,0,,,,1702,1691,0.0136,0.0135,11,0,11,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-98,""rsrq"":-14,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":3050,""tac"":2147483647,""rsrp"":-100,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-93,""rsrq"":-12,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-80,""rsrq"":-11,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":179,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-18,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":131,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-20,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-84,""rsrq"":-17,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""}]"
1778556862910,2026-05-12 12:34:22,37.54692845,127.06844271,7.326844,0.98,19.2,56.77252197265625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-89,-9,-59,4,3,0,,,,225286,62848,1.8023,0.5028,11,0,11,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-98,""rsrq"":-14,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":3050,""tac"":2147483647,""rsrp"":-100,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-93,""rsrq"":-12,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-80,""rsrq"":-11,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":179,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-18,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":131,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-20,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-84,""rsrq"":-17,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""}]"
1778556867921,2026-05-12 12:34:27,37.54700275,127.06845787,4.1946316,1.26,22.6,60.9937744140625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-89,-9,-59,4,3,0,,,,64721,23704,0.5178,0.1896,11,0,11,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-98,""rsrq"":-14,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":3050,""tac"":2147483647,""rsrp"":-100,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-93,""rsrq"":-12,""rssi"":-71,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-80,""rsrq"":-11,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-18,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":179,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-18,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":131,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-20,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-78,""rsrq"":-12,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-84,""rsrq"":-17,""rssi"":-57,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""}]"
1778556872926,2026-05-12 12:34:32,37.54706256,127.06847079,4.4544845,1.31,5.1,66.2618408203125,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-82,-7,-53,11,4,0,,,,29409,20274,0.2353,0.1622,9,0,9,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-96,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-88,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-20,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-15,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-9,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778556877931,2026-05-12 12:34:37,37.54712218,127.06850779,3.7900925,1.32,30.5,67.734619140625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-82,-7,-53,11,4,0,,,,63873,17188,0.5110,0.1375,9,0,9,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-96,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-88,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-20,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-15,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-9,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778556882937,2026-05-12 12:34:42,37.5471622,127.06853118,3.98582,1.41,31.4,66.5162353515625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-82,-7,-53,11,4,0,,,,19777,19232,0.1582,0.1539,9,0,9,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-96,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-88,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-20,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-15,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-9,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778556887941,2026-05-12 12:34:47,37.54721692,127.06858364,3.7900925,1.47,33.5,61.24566650390625,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-82,-7,-53,11,4,0,,,,16580,17838,0.1326,0.1427,9,0,9,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-96,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-88,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-85,""rsrq"":-14,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":421,""earfcn"":2600,""tac"":2147483647,""rsrp"":-91,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-20,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-89,""rsrq"":-15,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-78,""rsrq"":-9,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-17,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-90,""rsrq"":-19,""rssi"":-59,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778556892950,2026-05-12 12:34:52,37.54726449,127.06861672,3.9356766,1.47,24.9,60.74017333984375,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-84,-11,-53,,4,0,,,,16244,15361,0.1300,0.1229,10,0,10,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":285,""earfcn"":3050,""tac"":2147483647,""rsrp"":-99,""rsrq"":-20,""rssi"":-67,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-86,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-74,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":2600,""tac"":2147483647,""rsrp"":-81,""rsrq"":-15,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-83,""rsrq"":-17,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-86,""rsrq"":-13,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-97,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-93,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778556897961,2026-05-12 12:34:57,37.54732048,127.06866939,4.079458,1.29,23.5,57.18499755859375,LTE,NR_NSA,5G,true,false,true,false,false,52543745,272,3050,7,8282,450,06,-84,-11,-53,,4,0,,,,16459,16124,0.1317,0.1290,10,0,10,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":285,""earfcn"":3050,""tac"":2147483647,""rsrp"":-99,""rsrq"":-20,""rssi"":-67,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":3050,""tac"":2147483647,""rsrp"":-86,""rsrq"":-12,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":3050,""tac"":2147483647,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":2600,""tac"":2147483647,""rsrp"":-74,""rsrq"":-13,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":2600,""tac"":2147483647,""rsrp"":-81,""rsrq"":-15,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":2600,""tac"":2147483647,""rsrp"":-83,""rsrq"":-17,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":272,""earfcn"":100,""tac"":2147483647,""rsrp"":-86,""rsrq"":-13,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":273,""earfcn"":100,""tac"":2147483647,""rsrp"":-97,""rsrq"":-19,""rssi"":-65,""snr"":2147483647,""ta"":0,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":7,""earfcn"":100,""tac"":2147483647,""rsrp"":-93,""rsrq"":-19,""rssi"":-63,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":418,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
