timestamp,datetime,activity,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,mobile_rx_speed_Bps,mobile_tx_speed_Bps,mobile_rx_bitrate_Mbps,mobile_tx_bitrate_Mbps,wifi_active,neighbor_count,nr_neighbor_count,lte_neighbor_count,best_nbr_rsrp_dbm,best_nbr_pci,best_nbr_arfcn,imu_speed_ms,handover_detected,ping_pong_detected,collect_trigger,cell_duration_s,ho_count_30s,rsrp_delta,sinr_delta,cell_info_age_ms,prev_serving_cell_id,prev_rsrp_dbm,prev_rsrq_db,neighbors_json
1780991280351,2026-06-09 16:48:00,car,37.54732215,127.06685898,3.7900925,0.0,,31.83648681640625,LTE,NONE,4G,false,false,false,false,false,52544265,59,100,1,8282,450,06,-50,-6,-51,20,4,0,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,7,0,7,-52,59,2600,0.0,false,false,handover,0,0,,,8143,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-52,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":225,""earfcn"":2600,""tac"":null,""rsrp"":-56,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":2600,""tac"":null,""rsrp"":-59,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-82,""rsrq"":-12,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-85,""rsrq"":-14,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":225,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991280360,2026-06-09 16:48:00,car,37.54732215,127.06685898,3.7900925,0.0,,31.83648681640625,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-50,-6,-51,20,4,0,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,7,0,7,-52,59,2600,0.0,false,false,periodic,0,0,0,0,8150,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-52,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":225,""earfcn"":2600,""tac"":null,""rsrp"":-56,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":2600,""tac"":null,""rsrp"":-59,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-82,""rsrq"":-12,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-85,""rsrq"":-14,""rssi"":-59,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":225,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991285364,2026-06-09 16:48:05,car,37.54733176,127.06687066,6.4257827,0.27,0.0,29.82330322265625,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-64,-6,-51,20,4,0,,,,1102,343,0.0088,0.0027,1102,343,0.0088,0.0027,false,3,0,3,-55,59,2600,0.27,false,false,periodic,0,0,-14,0,5002,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-55,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-83,""rsrq"":-11,""rssi"":-61,""snr"":null,""ta"":0,""level"":4,""bands"":""7""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-87,""rsrq"":-15,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991290373,2026-06-09 16:48:10,car,37.5472892,127.06683681,7.658905,2.63,212.6,30.5399169921875,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-54,-9,-51,24,4,0,,,,508278,2674,4.0662,0.0214,508278,2674,4.0662,0.0214,false,5,0,5,-56,59,2600,2.63,false,false,periodic,0,0,10,4,5002,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-56,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-82,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":225,""earfcn"":3050,""tac"":null,""rsrp"":-87,""rsrq"":-12,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-88,""rsrq"":-13,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-14,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991295386,2026-06-09 16:48:15,car,37.54715421,127.06672233,5.570886,0.0,,27.56243896484375,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-56,-7,-51,22,4,0,,,,793115,31295,6.3449,0.2504,793115,31295,6.3449,0.2504,false,5,0,5,-54,59,2600,1.9615297,false,false,periodic,0,0,-2,-2,4996,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-54,""rsrq"":-13,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-85,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-12,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":225,""earfcn"":3050,""tac"":null,""rsrp"":-93,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-95,""rsrq"":-15,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991300390,2026-06-09 16:48:20,car,37.54714604,127.06671065,5.2136545,0.0,,28.022216796875,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-56,-7,-51,22,4,0,,,,585135,20834,4.6811,0.1667,585135,20834,4.6811,0.1667,false,5,0,5,-54,59,2600,0.5672085,false,false,periodic,0,0,0,0,10004,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-54,""rsrq"":-13,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-85,""rsrq"":-20,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-12,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":225,""earfcn"":3050,""tac"":null,""rsrp"":-93,""rsrq"":-16,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-95,""rsrq"":-15,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]"
1780991305404,2026-06-09 16:48:25,car,37.54710144,127.06667094,4.687547,1.64,222.6,28.91119384765625,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-68,-7,-51,,4,0,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,6,0,6,-55,59,2600,1.64,false,false,periodic,0,0,-12,,5003,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-55,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":421,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-17,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-55,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-11,""rssi"":-71,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":168,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""}]"
1780991310422,2026-06-09 16:48:30,car,37.54655496,127.06640861,4.8629246,11.29,203.3,34.14666748046875,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-68,-7,-51,,4,0,,,,27677,1392,0.2214,0.0111,27677,1392,0.2214,0.0111,false,6,0,6,-55,59,2600,11.29,false,false,periodic,0,0,0,,10022,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-55,""rsrq"":-11,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":421,""earfcn"":100,""tac"":null,""rsrp"":-79,""rsrq"":-17,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-86,""rsrq"":-18,""rssi"":-55,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-92,""rsrq"":-11,""rssi"":-71,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-15,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":168,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-17,""rssi"":-71,""snr"":null,""ta"":0,""level"":2,""bands"":""7""}]"
1780991315438,2026-06-09 16:48:35,car,37.54607592,127.06614122,7.2017646,7.61,203.6,33.55963134765625,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-77,-13,-51,,4,0,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,8,0,8,-65,59,2600,7.61,false,false,periodic,0,0,-9,,5000,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-65,""rsrq"":-10,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":421,""earfcn"":2600,""tac"":null,""rsrp"":-71,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":418,""earfcn"":100,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-11,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-99,""rsrq"":-11,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":272,""earfcn"":3050,""tac"":null,""rsrp"":-105,""rsrq"":-18,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":168,""earfcn"":3050,""tac"":null,""rsrp"":-109,""rsrq"":-20,""rssi"":-77,""snr"":null,""ta"":0,""level"":1,""bands"":""7""}]"
1780991320452,2026-06-09 16:48:40,car,37.54589417,127.06604522,7.220138,3.99,204.3,31.412353515625,LTE,NR_NSA,5G,true,false,true,false,false,52544265,59,100,1,8282,450,06,-77,-13,-51,,4,0,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,8,0,8,-65,59,2600,3.99,false,false,periodic,0,0,0,,10015,,,,"[{""type"":""LTE"",""pci"":59,""earfcn"":2600,""tac"":null,""rsrp"":-65,""rsrq"":-10,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":421,""earfcn"":2600,""tac"":null,""rsrp"":-71,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":0,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":46,""earfcn"":100,""tac"":null,""rsrp"":-88,""rsrq"":-17,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":418,""earfcn"":100,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""pci"":46,""earfcn"":3050,""tac"":null,""rsrp"":-98,""rsrq"":-11,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":418,""earfcn"":3050,""tac"":null,""rsrp"":-99,""rsrq"":-11,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":272,""earfcn"":3050,""tac"":null,""rsrp"":-105,""rsrq"":-18,""rssi"":-77,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":168,""earfcn"":3050,""tac"":null,""rsrp"":-109,""rsrq"":-20,""rssi"":-77,""snr"":null,""ta"":0,""level"":1,""bands"":""7""}]"
