timestamp,datetime,activity,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,location_source,location_age_s,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,mobile_rx_speed_Bps,mobile_tx_speed_Bps,mobile_rx_bitrate_Mbps,mobile_tx_bitrate_Mbps,wifi_active,neighbor_count,nr_neighbor_count,lte_neighbor_count,best_nbr_rsrp_dbm,best_nbr_pci,best_nbr_arfcn,imu_speed_ms,handover_detected,ping_pong_detected,collect_trigger,cell_duration_s,ho_count_30s,rsrp_delta,sinr_delta,cell_info_age_ms,prev_serving_cell_id,prev_rsrp_dbm,prev_rsrq_db,neighbors_json,pressure_hpa,rtt_ms,probe_dl_mbps,wifi_ap_count,wifi_scan_age_s,anchor_station,anchor_lat,anchor_lon,wifi_scan_json,prev_neighbors_json
1789470313462,2026-09-15 20:05:13,car,37.56808097,126.89262542,6.4757757,0.0,,39.0523681640625,gps,14,LTE,NONE,4G,false,false,false,false,false,50895618,97,3050,7,8266,450,06,-71,-7,-51,10,4,,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,8,0,8,-70,97,2600,0.0,false,false,handover,0,0,,,15372,,,,"[{""type"":""LTE"",""pci"":97,""earfcn"":2600,""tac"":null,""rsrp"":-70,""rsrq"":-13,""rssi"":-51,""snr"":null,""ta"":null,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":97,""earfcn"":100,""tac"":null,""rsrp"":-76,""rsrq"":-9,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":26,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":null,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":430,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-15,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":26,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-13,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":null,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":163,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":null,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":87,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-20,""rssi"":-63,""snr"":null,""ta"":null,""level"":2,""bands"":""7""}]",,,,38,6,,,,"[{""b"":""02:88:ba:31:3b:04"",""s"":""SEOUL"",""r"":-38,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-39,""f"":2412},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-40,""f"":5180},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-40,""f"":5180},{""b"":""06:88:ba:31:3b:07"",""s"":""SEOUL_Secure"",""r"":-40,""f"":5180},{""b"":""02:88:ba:31:3b:07"",""s"":""SEOUL"",""r"":-40,""f"":5180},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-48,""f"":2412},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-49,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-49,""f"":2417},{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-50,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-50,""f"":2437},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-50,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-50,""f"":5220},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-62,""f"":6075},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-63,""f"":6075}]",""
1789470313476,2026-09-15 20:05:13,car,37.56808097,126.89262542,6.4757757,0.0,,39.0523681640625,gps,14,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-71,-7,-51,10,4,,,,,0,0,0.0000,0.0000,0,0,0.0000,0.0000,false,8,0,8,-70,97,2600,0.0,false,false,periodic,0,0,0,0,15385,,,,"[{""type"":""LTE"",""pci"":97,""earfcn"":2600,""tac"":null,""rsrp"":-70,""rsrq"":-13,""rssi"":-51,""snr"":null,""ta"":null,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":97,""earfcn"":100,""tac"":null,""rsrp"":-76,""rsrq"":-9,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":26,""earfcn"":2600,""tac"":null,""rsrp"":-77,""rsrq"":-19,""rssi"":-51,""snr"":null,""ta"":null,""level"":4,""bands"":""5""},{""type"":""LTE"",""pci"":430,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-15,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":26,""earfcn"":100,""tac"":null,""rsrp"":-83,""rsrq"":-13,""rssi"":-59,""snr"":null,""ta"":null,""level"":4,""bands"":""1""},{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":null,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":163,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":null,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":87,""earfcn"":3050,""tac"":null,""rsrp"":-100,""rsrq"":-20,""rssi"":-63,""snr"":null,""ta"":null,""level"":2,""bands"":""7""}]",,,,38,6,,,,"[{""b"":""02:88:ba:31:3b:04"",""s"":""SEOUL"",""r"":-38,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-39,""f"":2412},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-40,""f"":5180},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-40,""f"":5180},{""b"":""06:88:ba:31:3b:07"",""s"":""SEOUL_Secure"",""r"":-40,""f"":5180},{""b"":""02:88:ba:31:3b:07"",""s"":""SEOUL"",""r"":-40,""f"":5180},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-48,""f"":2412},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-49,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-49,""f"":2417},{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-50,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-50,""f"":2437},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-50,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-50,""f"":5220},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-62,""f"":6075},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-63,""f"":6075}]",""
1789470318488,2026-09-15 20:05:18,car,37.568086,126.8926414,6.89,2.2193189,87.01573,40.599998474121094,fused,0,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-84,-6,-57,14,4,0,,,,3443,2138,0.0275,0.0171,3403,2098,0.0272,0.0168,false,1,0,1,-94,430,3050,2.2193189,false,false,periodic,0,0,-13,4,5010,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-94,""rsrq"":-20,""rssi"":-61,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]",1014.682,73,,18,2,,,,"[{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-36,""f"":5220},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-36,""f"":2417},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-37,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-37,""f"":5220},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-52,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-52,""f"":6075},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-55,""f"":5180},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-57,""f"":5180},{""b"":""06:88:ba:31:3b:07"",""s"":""SEOUL_Secure"",""r"":-57,""f"":5180},{""b"":""02:88:ba:31:3b:07"",""s"":""SEOUL"",""r"":-57,""f"":5180},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-64,""f"":2412},{""b"":""22:ec:72:6c:41:41"",""s"":""Public WiFi Free"",""r"":-67,""f"":2462},{""b"":""00:88:ba:31:2f:64"",""s"":""Public WiFi Free"",""r"":-68,""f"":2462},{""b"":""0a:88:ba:31:2f:67"",""s"":""Public WiFi Secure"",""r"":-74,""f"":5180},{""b"":""06:88:ba:31:2f:67"",""s"":""SEOUL_Secure"",""r"":-75,""f"":5180}]",""
1789470323498,2026-09-15 20:05:23,car,37.5680638,126.8927074,10.859,3.0817373,102.87389,40.599998474121094,fused,1,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-86,-7,-59,11,3,0,,,,422323,3227,3.3786,0.0258,422303,3207,3.3784,0.0257,false,3,0,3,-93,87,3050,3.0817373,false,false,periodic,0,0,-2,-3,5007,,,,"[{""type"":""LTE"",""pci"":87,""earfcn"":3050,""tac"":null,""rsrp"":-93,""rsrq"":-17,""rssi"":-67,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-94,""rsrq"":-18,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":24,""earfcn"":3050,""tac"":null,""rsrp"":-94,""rsrq"":-20,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]",1014.5934,55,40.880,17,4,,,,"[{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-36,""f"":2412},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-40,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-40,""f"":5220},{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-40,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-42,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-42,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-46,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-48,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-48,""f"":6075},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-51,""f"":5180},{""b"":""02:88:ba:31:3b:07"",""s"":""SEOUL"",""r"":-51,""f"":5180},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-59,""f"":2412},{""b"":""0a:88:ba:31:2f:67"",""s"":""Public WiFi Secure"",""r"":-72,""f"":5180},{""b"":""06:88:ba:31:2f:67"",""s"":""SEOUL_Secure"",""r"":-73,""f"":5180},{""b"":""00:d3:a9:b3:6e:8f"",""s"":"""",""r"":-82,""f"":2412}]",""
1789470328521,2026-09-15 20:05:28,car,37.5679546,126.8929678,12.099,3.1569855,118.49213,40.599998474121094,fused,0,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-87,-9,-61,9,3,0,,,,42,62,0.0003,0.0005,22,43,0.0002,0.0003,false,2,0,2,-96,430,3050,3.1569855,false,false,periodic,0,0,-1,-2,4997,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-96,""rsrq"":-18,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""7""},{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-97,""rsrq"":-14,""rssi"":-73,""snr"":null,""ta"":0,""level"":2,""bands"":""7""}]",1014.6382,75,,25,1,,,,"[{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-37,""f"":5220},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-38,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-38,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-40,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-41,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-43,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-52,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-53,""f"":6075},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-68,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-70,""f"":2412},{""b"":""00:88:ba:31:2f:64"",""s"":""Public WiFi Free"",""r"":-74,""f"":2462},{""b"":""54:ef:33:2b:25:e5"",""s"":""BMWACE2.00"",""r"":-79,""f"":2437},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-80,""f"":5180},{""b"":""00:88:ba:31:2f:67"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180}]",""
1789470333527,2026-09-15 20:05:33,car,37.5678435,126.8930666,9.548,2.7791572,164.68033,40.599998474121094,fused,1,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-80,-6,-51,8,4,1,,,,42,63,0.0003,0.0005,22,43,0.0002,0.0003,false,2,0,2,-90,430,3050,2.7791572,false,false,periodic,0,0,7,-1,5005,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""7""}]",1014.65076,54,,25,6,,,,"[{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-37,""f"":5220},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-38,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-38,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-40,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-41,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-43,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-52,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-53,""f"":6075},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-68,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-70,""f"":2412},{""b"":""00:88:ba:31:2f:64"",""s"":""Public WiFi Free"",""r"":-74,""f"":2462},{""b"":""54:ef:33:2b:25:e5"",""s"":""BMWACE2.00"",""r"":-79,""f"":2437},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-80,""f"":5180},{""b"":""00:88:ba:31:2f:67"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180}]",""
1789470338551,2026-09-15 20:05:38,car,37.5677416,126.8931749,5.11,0.03882689,,40.599998474121094,fused,0,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-80,-6,-51,8,4,1,,,,117,111,0.0009,0.0009,77,71,0.0006,0.0006,false,2,0,2,-90,430,3050,1.8360595,false,false,periodic,0,0,0,0,10028,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-16,""rssi"":-61,""snr"":null,""ta"":1,""level"":3,""bands"":""7""}]",1014.7948,71,,25,11,,,,"[{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-37,""f"":5220},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-38,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-38,""f"":5220},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-40,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-41,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-43,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-52,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-53,""f"":6075},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-68,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-70,""f"":2412},{""b"":""00:88:ba:31:2f:64"",""s"":""Public WiFi Free"",""r"":-74,""f"":2462},{""b"":""54:ef:33:2b:25:e5"",""s"":""BMWACE2.00"",""r"":-79,""f"":2437},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-80,""f"":5180},{""b"":""00:88:ba:31:2f:67"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180},{""b"":""00:88:ba:31:3b:07"",""s"":""Public WiFi Free"",""r"":-81,""f"":5180}]",""
1789470343575,2026-09-15 20:05:43,car,37.5677523,126.8931988,4.238,0.045375396,,40.599998474121094,fused,1,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-76,-6,-51,,4,0,,,,151,157,0.0012,0.0013,131,137,0.0010,0.0011,false,3,0,3,-86,430,3050,3.8259406,false,false,periodic,0,0,4,,5000,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-86,""rsrq"":-16,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":26,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]",1014.67303,82,,31,3,,,,"[{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-34,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-35,""f"":2437},{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-39,""f"":5220},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-40,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-40,""f"":5220},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-42,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-52,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-53,""f"":6075},{""b"":""90:de:80:0f:6b:93"",""s"":""GNET_BB_CATCHON_3WAY_0F6B93"",""r"":-62,""f"":2457},{""b"":""68:31:fe:55:db:e1"",""s"":""nextone"",""r"":-68,""f"":2412},{""b"":""00:88:ba:31:3b:04"",""s"":""Public WiFi Free"",""r"":-70,""f"":2412},{""b"":""1c:ec:72:6c:41:41"",""s"":""Public WiFi Secure"",""r"":-70,""f"":2462},{""b"":""00:88:ba:31:2f:64"",""s"":""Public WiFi Free"",""r"":-74,""f"":2462},{""b"":""54:ef:33:2b:25:e5"",""s"":""BMWACE2.00"",""r"":-79,""f"":2437},{""b"":""0a:88:ba:31:3b:07"",""s"":""Public WiFi Secure"",""r"":-80,""f"":5180}]",""
1789470348589,2026-09-15 20:05:48,car,37.567758,126.893206,3.0,0.067671604,,40.599998474121094,fused,0,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-73,-5,-51,16,4,0,,,,42,63,0.0003,0.0005,22,43,0.0002,0.0003,false,2,0,2,-90,355,3050,0.03730319,false,false,periodic,0,0,3,,5001,,,,"[{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-90,""rsrq"":-18,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":26,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-20,""rssi"":-59,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]",1014.6677,89,,32,2,,,,"[{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-40,""f"":5220},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-40,""f"":2437},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-40,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-40,""f"":5220},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-41,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-41,""f"":6075},{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-42,""f"":2437},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-52,""f"":2417},{""b"":""1c:ec:72:6c:41:41"",""s"":""Public WiFi Secure"",""r"":-60,""f"":2462},{""b"":""22:ec:72:6c:41:41"",""s"":""Public WiFi Free"",""r"":-61,""f"":2462},{""b"":""22:ec:72:6c:41:40"",""s"":""Public WiFi Free"",""r"":-66,""f"":5600},{""b"":""90:de:80:0f:6b:93"",""s"":""GNET_BB_CATCHON_3WAY_0F6B93"",""r"":-66,""f"":2457},{""b"":""1c:ec:72:6c:41:40"",""s"":""Public WiFi Secure"",""r"":-66,""f"":5600},{""b"":""26:ec:72:6c:41:40"",""s"":""SEOUL_Secure"",""r"":-67,""f"":5600},{""b"":""70:5d:cc:52:dd:f2"",""s"":""20250125-2g"",""r"":-80,""f"":2452}]",""
1789470353601,2026-09-15 20:05:53,car,37.56776,126.8932049,3.0,0.07000745,,40.599998474121094,fused,1,LTE,NR_NSA,5G,true,false,true,false,false,50895618,97,3050,7,8266,450,06,-80,-7,-51,16,4,0,,,,570676,37340,4.5654,0.2987,570656,37320,4.5652,0.2986,false,3,0,3,-89,430,3050,0.053586796,false,false,periodic,0,0,-7,0,813,,,,"[{""type"":""LTE"",""pci"":430,""earfcn"":3050,""tac"":null,""rsrp"":-89,""rsrq"":-16,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":355,""earfcn"":3050,""tac"":null,""rsrp"":-91,""rsrq"":-17,""rssi"":-63,""snr"":null,""ta"":0,""level"":3,""bands"":""7""},{""type"":""LTE"",""pci"":26,""earfcn"":3050,""tac"":null,""rsrp"":-93,""rsrq"":-20,""rssi"":-65,""snr"":null,""ta"":0,""level"":3,""bands"":""7""}]",1014.6754,79,171.406,26,4,,,,"[{""b"":""0a:09:a5:3f:51:e6"",""s"":""Public WiFi Free"",""r"":-38,""f"":2437},{""b"":""04:09:a5:3f:51:e6"",""s"":""Public WiFi Secure"",""r"":-39,""f"":2437},{""b"":""04:09:a5:3f:51:e5"",""s"":""Public WiFi Secure"",""r"":-42,""f"":5220},{""b"":""0a:09:a5:3f:51:e5"",""s"":""Public WiFi Free"",""r"":-42,""f"":5220},{""b"":""0e:09:a5:3f:51:e5"",""s"":""SEOUL_Secure"",""r"":-42,""f"":5220},{""b"":""7c:7a:53:02:64:37"",""s"":""dwtrs_176"",""r"":-49,""f"":2417},{""b"":""06:09:a5:3f:51:e7"",""s"":""Public WiFi Secure"",""r"":-50,""f"":6075},{""b"":""06:09:a5:3f:51:e8"",""s"":""Public WiFi Free"",""r"":-50,""f"":6075},{""b"":""26:ec:72:6c:41:41"",""s"":""SEOUL_Secure"",""r"":-56,""f"":2462},{""b"":""1c:ec:72:6c:41:41"",""s"":""Public WiFi Secure"",""r"":-58,""f"":2462},{""b"":""22:ec:72:6c:41:41"",""s"":""Public WiFi Free"",""r"":-61,""f"":2462},{""b"":""22:ec:72:6c:41:40"",""s"":""Public WiFi Free"",""r"":-71,""f"":5600},{""b"":""26:ec:72:6c:41:40"",""s"":""SEOUL_Secure"",""r"":-71,""f"":5600},{""b"":""1c:ec:72:6c:41:40"",""s"":""Public WiFi Secure"",""r"":-71,""f"":5600},{""b"":""f8:96:fe:a0:87:e1"",""s"":""Hyundai_utt0"",""r"":-72,""f"":5220}]",""
